date,abstract,keywords,doc_type,material_type,news_desk
2020-02-01,"With his signature campaign promise fulfilled, the prime minister can now reshape Britain for a generation.","['Great Britain Withdrawal from EU (Brexit)', 'Politics and Government', 'Immigration and Emigration']",article,Op-Ed,OpEd
2020-02-01,"A panel appointed by the governor acknowledged that its recommendations could not fully address what the Justice Department has called “severe, systemic” conditions.","['Prisons and Prisoners', 'Prison Guards and Corrections Officers', 'Eighth Amendment (US Constitution)', 'Politics and Government']",article,News,National
2020-02-01,"In a podcast interview on Friday, Mrs. Clinton also described the caucuses in Iowa, where Mr. Sanders leads in some polls, as “undemocratic.”","['Presidential Election of 2020', 'Presidential Election of 2016']",article,News,Politics
2020-02-01,Senators will vote on procedural motions in President Trump’s impeachment trial.,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Impeachment']",multimedia,Video,
2020-02-01,"As he discussed the possibility of a White House meeting for Ukraine’s president, President Trump’s lawyer asked to save the Kyiv mayor’s job.","['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'United States International Relations', 'Corruption (Institutional)', 'Foreign Aid', 'Impeachment', 'United States Defense and Military Forces']",article,News,Foreign
2020-02-01,"Britain exits Europe. It will be poorer, above all in its shriveled heart.","['Great Britain Withdrawal from EU (Brexit)', 'Politics and Government']",article,Op-Ed,OpEd
2020-02-01,"Christopher Paul Hasson, a self-described white nationalist, plotted to kill journalists, Democratic politicians, Supreme Court justices and those he described as “leftists in general,” prosecutors said.","['Murders, Attempted Murders and Homicides', 'Firearms', 'Terrorism', 'Drug Abuse and Traffic']",article,News,Express
2020-02-01,"Several Senate Republicans said that even if President Trump did everything impeachment managers said, he should not be removed.","['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Presidential Election of 2020']",article,News,Washington
2020-02-01,Readers react as the Republicans vote to block witnesses in President Trump’s impeachment trial.,"['Impeachment', 'United States Politics and Government']",article,Letter,Letters
2020-02-01,"On a July 25 telephone call with the president of Ukraine, President Trump described Ambassador Yovanovitch as “bad news” and said, ominously, “She’s going to go through some things.”","['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Diplomatic Service, Embassies and Consulates']",article,News,Washington
2020-02-01,"The narrow vote came after Republican senators said they did not need to hear more evidence, and pressed toward acquitting President Trump next week.","['Impeachment', 'Presidential Election of 2020', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government']",article,News,Washington
2020-02-01,"In pressing toward their preordained vote of acquittal, Senate Republicans made it clear they see their fortunes and futures intertwined with the president’s.","['Impeachment', 'Presidential Election of 2020', 'United States Politics and Government']",article,News,Washington
2020-02-01,The Sanders online army resembles President Trump’s most ardent supporters in more ways than either side might care to admit.,"['Presidential Election of 2020', 'Social Media', 'United States Politics and Government']",article,Op-Ed,OpEd
2020-02-01,Many viewers don’t care about the game but watch for the commercials. Not these.,"['Surveillance of Citizens by Government', 'Chronic Traumatic Encephalopathy', 'Super Bowl', 'Football']",article,Op-Ed,OpEd
2020-02-01,"Britain has formally left the European Union, but difficult trade talks remain before the two are severed.",['Great Britain Withdrawal from EU (Brexit)'],article,Editorial,Editorial
2020-02-01,Mark Diehl is back with a suitably savage Saturday grid.,['Crossword Puzzles'],article,News,Games
2020-02-01,Republican legislators abdicated their duty by refusing to seek the truth.,"['Impeachment', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Presidential Election of 2020', 'United States Politics and Government']",article,Editorial,Editorial
2020-02-01,Party leaders agreed on a schedule that would end the trial on Wednesday.,['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry'],article,News,Washington
2020-02-01,She became a world-renowned author writing about “nice people whose lives are invaded.”,"['Deaths (Obituaries)', 'Writing and Writers', 'Books and Literature']",article,Obituary (Obit),Obits
2020-02-01,"“It’s just not right to just blanket ban a group of people,” said one college professor who has lived in the U.S. for about 20 years.","['Immigration and Emigration', 'NIGERIAN-AMERICANS', 'Executive Orders and Memorandums', 'Refugees and Displaced Persons', 'Visas', 'United States Politics and Government']",article,News,Express
2020-02-01,"On Monday, Democrats will make their choice for the Democratic presidential nominees at more than 1,600 precincts across Iowa. Here is how that will play out in one middle school gym.","['Presidential Election of 2020', 'Primaries and Caucuses']",multimedia,Interactive Feature,U.S.
2020-02-01,"Corrections that appeared in print on Saturday, Feb. 1, 2020.",[],article,Correction,Corrections
2020-02-01,"Quotation of the Day for Saturday, February 1, 2020.",[],article,Quote,Summary
